ScanMode,NP,FreqX,FreqY,TotalPoints,MeanDepth,StdDepth,CV,MinDepth,MaxDepth,Filename
Sinusoidal,100,250,247.5,437055,400.049,0.581071,0.14525,398.815,401.785,Sinusoidal_NP100_250Hz.csv
Triangular,100,250,247.5,414077,400.039,0.493141,0.123273,398.935,401.652,Triangular_NP100_250Hz.csv
Bidirectional,100,250,247.5,316577,400.057,0.471608,0.117885,398.844,401.8,Bidirectional_NP100_250Hz.csv
Radial,100,250,247.5,402053,400.039,0.322572,0.0806351,399.845,400.767,Radial_NP100_250Hz.csv
Sinusoidal,80,250,246.875,436133,400.044,0.589828,0.147441,398.819,401.796,Sinusoidal_NP80_250Hz.csv
Triangular,80,250,246.875,418222,400.033,0.499504,0.124866,398.936,401.646,Triangular_NP80_250Hz.csv
Bidirectional,80,250,246.875,316840,400.057,0.471334,0.117817,398.838,401.805,Bidirectional_NP80_250Hz.csv
Radial,80,250,246.875,395390,400.039,0.334987,0.0837387,399.841,400.765,Radial_NP80_250Hz.csv
Sinusoidal,60,250,245.833,427862,400.042,0.587549,0.146872,398.812,401.794,Sinusoidal_NP60_250Hz.csv
Triangular,60,250,245.833,408992,400.033,0.499199,0.12479,398.952,401.691,Triangular_NP60_250Hz.csv
Bidirectional,60,250,245.833,316872,400.057,0.47127,0.117801,398.838,401.805,Bidirectional_NP60_250Hz.csv
Radial,60,250,245.833,424615,400.033,0.332381,0.0830884,399.844,400.76,Radial_NP60_250Hz.csv
Sinusoidal,40,250,243.75,431151,400.043,0.584198,0.146034,398.813,401.79,Sinusoidal_NP40_250Hz.csv
Triangular,40,250,243.75,409516,400.04,0.491079,0.122757,398.952,401.694,Triangular_NP40_250Hz.csv
Bidirectional,40,250,243.75,316162,400.057,0.47127,0.117801,398.838,401.805,Bidirectional_NP40_250Hz.csv
Radial,40,250,243.75,423147,400.028,0.327778,0.0819388,399.838,400.756,Radial_NP40_250Hz.csv
Sinusoidal,20,250,237.5,429167,400.046,0.582913,0.145711,398.824,401.791,Sinusoidal_NP20_250Hz.csv
Triangular,19,250,236.842,408908,400.041,0.491928,0.12297,398.934,401.595,Triangular_NP19_250Hz.csv
Bidirectional,19,250,236.842,318837,400.057,0.471765,0.117924,398.838,401.803,Bidirectional_NP19_250Hz.csv
Radial,19,250,236.842,421473,400.022,0.338212,0.0845484,399.83,400.749,Radial_NP19_250Hz.csv
